cliente;atrasos;Resposta;temporel;valorfatura;p_gastoalim;regiaorisco;rendamensal
78;1;0;4;1;3;4;3
79;3;1;4;2;1;1;2
80;3;1;1;3;1;4;3
81;1;0;3;2;4;4;4
82;2;0;1;3;4;2;1
83;3;0;1;3;3;4;3
84;3;1;1;1;1;1;3
85;2;0;3;2;3;3;2
86;1;0;2;1;4;2;4
87;4;1;1;3;4;3;2
88;3;1;3;4;1;3;2
89;1;0;3;3;3;1;3
90;2;0;3;2;4;4;3
91;1;0;3;2;3;3;4
92;1;0;2;4;3;2;3
93;3;1;1;1;2;2;1
94;3;1;2;2;3;1;3
95;2;0;4;3;4;4;4
96;3;1;3;3;1;4;2
97;2;0;1;1;1;2;1
98;1;1;1;2;3;3;2
99;3;1;3;2;1;2;2
100;2;0;1;2;2;1;4
101;4;0;2;3;2;4;1
102;2;0;4;4;2;1;4
103;4;1;1;3;4;4;1
104;2;0;4;2;4;1;4
105;4;1;3;2;3;3;4
106;2;1;1;2;3;2;2
107;3;0;4;3;1;4;4
108;2;0;3;2;2;4;2
109;2;1;4;3;2;1;4
110;4;0;3;2;2;4;3
111;3;1;4;1;3;4;3
112;2;0;3;3;4;3;3
113;1;0;1;1;2;2;3
114;3;0;4;3;4;4;4
115;3;0;3;1;1;3;2
116;1;1;2;3;2;4;1
117;1;0;3;1;4;4;2
118;1;0;4;2;1;1;3
119;4;0;4;3;3;1;3
120;2;0;4;1;4;3;2
121;2;0;4;4;3;4;1
122;3;1;4;3;2;3;2
123;3;1;2;2;1;3;2
124;3;0;3;1;3;1;2
125;1;0;4;1;3;3;3
126;3;1;4;2;2;3;1
127;1;0;2;1;4;3;1
128;2;1;4;3;1;2;1
129;3;0;3;2;4;1;3
130;2;1;1;1;1;1;4
131;4;1;1;2;1;3;2
132;3;1;3;1;4;1;3
133;2;0;4;3;3;4;1
134;4;1;4;2;1;4;2
135;4;1;3;1;1;1;3
136;2;0;4;1;4;2;1
137;3;0;1;2;1;2;2
138;3;1;1;2;2;3;3
139;3;0;2;3;4;1;4
140;4;1;4;4;4;2;1
141;2;0;2;1;4;3;1
142;4;1;3;1;2;3;1
143;1;1;3;1;1;3;1
144;3;1;1;1;3;2;2
145;3;1;1;2;3;1;4
146;1;0;4;4;4;4;4
147;2;1;1;2;3;2;3
148;2;1;3;2;1;2;4
149;2;0;1;1;3;3;4
150;1;0;4;1;3;4;1
151;4;1;3;4;3;2;1
152;2;1;1;3;2;2;1
153;4;1;3;3;2;1;4
154;2;1;1;3;3;1;4
155;4;1;1;1;4;3;1
156;4;0;3;4;4;4;2
157;4;1;2;3;1;3;1
158;2;0;4;1;3;3;4
159;2;1;1;1;2;4;3
160;4;1;1;1;4;2;1
161;2;0;3;3;2;3;3
162;4;0;1;4;4;3;3
163;1;0;4;1;1;4;3
164;2;0;2;1;2;2;2
165;4;1;2;1;1;3;2
166;2;1;2;1;3;1;2
167;2;0;2;3;1;2;3
168;3;1;4;1;1;1;1
169;1;0;2;3;3;3;2
170;1;0;4;4;4;1;1
171;4;1;3;4;3;3;4
172;4;1;1;1;1;1;1
173;1;0;3;3;1;1;2
174;3;0;1;2;4;4;4
175;3;1;3;2;1;4;4
176;3;1;1;2;1;3;1
177;4;1;3;3;2;1;4
178;4;1;2;2;1;2;3
179;1;0;3;4;3;2;1
180;3;1;1;2;3;2;1
181;2;1;2;2;3;1;3
182;2;0;3;2;4;3;4
183;1;0;2;2;4;2;3
184;3;1;2;4;3;1;2
185;3;1;4;1;2;4;2
186;4;1;3;1;2;3;4
187;4;0;4;1;3;4;3
188;1;1;4;2;3;4;4
189;2;1;2;2;1;1;1
190;2;0;1;2;4;3;4
191;2;0;1;1;2;2;1
192;2;0;1;1;4;2;1
193;2;0;3;3;4;3;2
194;2;0;4;3;4;3;3
195;1;0;1;3;3;3;4
196;3;0;3;4;4;4;3
197;3;0;4;4;3;2;4
198;1;1;2;1;1;2;3
199;3;1;4;2;1;2;1
200;3;0;3;1;1;1;2
201;4;1;3;2;2;4;2
202;2;0;4;4;1;3;3
203;3;1;3;2;1;1;3
204;4;1;2;4;4;2;4
205;1;0;4;1;1;3;3
206;1;0;4;3;2;2;2
207;2;1;2;4;4;1;3
208;2;0;1;4;1;2;3
209;2;0;4;1;2;1;3
210;1;1;2;1;1;2;3
211;2;1;1;1;2;2;1
212;4;1;1;2;4;1;2
213;4;1;2;1;1;3;3
214;3;0;3;1;4;4;4
215;4;1;1;2;1;1;1
216;2;0;1;4;1;1;3
217;2;1;3;2;2;4;3
218;1;0;4;2;4;1;4
219;4;1;2;3;2;2;1
220;2;0;3;1;3;2;4
221;1;0;2;3;3;3;2
222;1;0;3;2;3;3;2
223;1;0;2;3;3;4;4
224;1;0;2;4;1;1;3
225;1;0;1;2;1;4;4
226;2;1;2;2;4;2;2
227;4;1;1;4;3;4;4
228;3;1;4;1;4;1;1
229;4;1;1;1;3;2;4
230;4;1;2;4;1;2;2
231;2;0;3;2;4;2;2
232;1;0;3;1;2;3;4
233;1;0;1;1;1;4;2
234;1;0;4;1;3;4;3
235;2;0;1;1;3;2;1
236;3;0;3;2;3;4;4
237;2;0;2;2;3;1;3
238;2;0;2;2;4;4;4
239;3;1;4;2;3;2;2
240;3;1;1;2;2;3;4
241;3;1;3;3;2;2;2
242;1;1;3;4;1;1;1
243;1;1;1;4;2;1;2
244;4;1;1;1;2;1;1
245;3;1;1;1;2;2;1
246;3;0;4;4;4;4;1
247;4;0;2;4;2;4;2
248;2;1;4;1;2;1;4
249;3;1;3;1;2;2;1
250;4;0;1;2;4;2;1
251;3;1;2;1;1;2;1
252;1;0;3;4;4;3;2
253;1;0;3;2;2;4;1
254;1;1;1;1;1;2;2
255;3;0;4;2;4;1;4
256;4;1;3;1;1;1;3
257;4;1;1;3;1;1;1
258;2;1;4;1;3;1;3
259;4;1;2;1;4;1;3
260;2;1;4;4;1;1;1
261;3;1;1;3;3;1;4
262;1;0;2;4;3;4;2
263;4;0;4;2;3;2;3
264;2;1;1;3;4;4;2
265;3;1;2;1;2;2;2
266;2;1;1;1;1;3;1
267;4;1;3;2;3;4;4
268;3;1;1;2;2;1;4
269;1;0;1;2;3;4;2
270;3;1;1;1;3;1;3
271;2;0;2;2;3;4;1
272;4;0;2;4;3;3;2
273;2;0;1;2;4;1;4
274;1;0;4;4;4;4;4
275;1;0;4;3;4;4;4
276;2;0;3;1;3;2;4
277;4;0;4;2;4;4;1
278;4;1;4;2;1;1;3
279;4;1;2;2;1;2;2
280;2;1;1;4;2;1;1
281;1;0;4;1;3;4;3
282;3;1;4;2;1;1;2
283;3;1;1;3;1;4;3
284;1;0;3;2;4;4;4
285;2;0;1;3;4;2;1
286;3;0;1;3;3;4;3
287;3;1;1;1;1;1;3
288;2;0;3;2;3;3;2
289;1;0;2;1;4;2;4
290;4;1;1;3;4;3;2
291;3;1;3;4;1;3;2
292;1;0;3;3;3;1;3
293;2;0;3;2;4;4;3
294;1;0;3;2;3;3;4
295;1;0;2;4;3;2;3
296;3;1;1;1;2;2;1
297;3;1;2;2;3;1;3
298;2;0;4;3;4;4;4
299;3;1;3;3;1;4;2
300;2;0;1;1;1;2;1
301;1;1;1;2;3;3;2
302;3;1;3;2;1;2;2
303;2;0;1;2;2;1;4
304;4;0;2;3;2;4;1
305;2;0;4;4;2;1;4
306;4;1;1;3;4;4;1
307;2;0;4;2;4;1;4
308;4;1;3;2;3;3;4
309;2;1;1;2;3;2;2
310;3;0;4;3;1;4;4
311;2;0;3;2;2;4;2
312;2;1;4;3;2;1;4
313;4;0;3;2;2;4;3
314;3;1;4;1;3;4;3
315;2;0;3;3;4;3;3
316;1;0;1;1;2;2;3
317;3;0;4;3;4;4;4
318;3;0;3;1;1;3;2
319;1;1;2;3;2;4;1
320;1;0;3;1;4;4;2
321;1;0;4;2;1;1;3
322;4;0;4;3;3;1;3
323;2;0;4;1;4;3;2
324;2;0;4;4;3;4;1
325;3;1;4;3;2;3;2
326;3;1;2;2;1;3;2
327;3;0;3;1;3;1;2
328;1;0;4;1;3;3;3
329;3;1;4;2;2;3;1
330;1;0;2;1;4;3;1
331;2;1;4;3;1;2;1
332;3;0;3;2;4;1;3
333;2;1;1;1;1;1;4
334;4;1;1;2;1;3;2
335;3;1;3;1;4;1;3
336;2;0;4;3;3;4;1
337;4;1;4;2;1;4;2
338;4;1;3;1;1;1;3
339;2;0;4;1;4;2;1
340;3;0;1;2;1;2;2
341;3;1;1;2;2;3;3
342;3;0;2;3;4;1;4
343;4;1;4;4;4;2;1
344;2;0;2;1;4;3;1
345;4;1;3;1;2;3;1
346;1;1;3;1;1;3;1
347;3;1;1;1;3;2;2
348;3;1;1;2;3;1;4
349;1;0;4;4;4;4;4
350;2;1;1;2;3;2;3
351;2;1;3;2;1;2;4
352;2;0;1;1;3;3;4
353;1;0;4;1;3;4;1
354;4;1;3;4;3;2;1
355;2;1;1;3;2;2;1
356;4;1;3;3;2;1;4
357;2;1;1;3;3;1;4
358;4;1;1;1;4;3;1
359;4;0;3;4;4;4;2
360;4;1;2;3;1;3;1
361;2;0;4;1;3;3;4
362;2;1;1;1;2;4;3
363;4;1;1;1;4;2;1
364;2;0;3;3;2;3;3
365;4;0;1;4;4;3;3
366;1;0;4;1;1;4;3
367;2;0;2;1;2;2;2
368;4;1;2;1;1;3;2
369;2;1;2;1;3;1;2
370;2;0;2;3;1;2;3
371;3;1;4;1;1;1;1
372;1;0;2;3;3;3;2
373;1;0;4;4;4;1;1
374;4;1;3;4;3;3;4
375;4;1;1;1;1;1;1
376;1;0;3;3;1;1;2
377;3;0;1;2;4;4;4
378;3;1;3;2;1;4;4
379;3;1;1;2;1;3;1
380;4;1;3;3;2;1;4
381;4;1;2;2;1;2;3
382;1;0;3;4;3;2;1
383;3;1;1;2;3;2;1
384;2;1;2;2;3;1;3
385;2;0;3;2;4;3;4
386;1;0;2;2;4;2;3
387;3;1;2;4;3;1;2
388;3;1;4;1;2;4;2
389;4;1;3;1;2;3;4
390;4;0;4;1;3;4;3
391;1;1;4;2;3;4;4
392;2;1;2;2;1;1;1
393;2;0;1;2;4;3;4
394;2;0;1;1;2;2;1
395;2;0;1;1;4;2;1
396;2;0;3;3;4;3;2
397;2;0;4;3;4;3;3
398;1;0;1;3;3;3;4
399;3;0;3;4;4;4;3
400;3;0;4;4;3;2;4
401;1;1;2;1;1;2;3
402;3;1;4;2;1;2;1
403;3;0;3;1;1;1;2
404;4;1;3;2;2;4;2
405;2;0;4;4;1;3;3
406;3;1;3;2;1;1;3
407;4;1;2;4;4;2;4
408;1;0;4;1;1;3;3
409;1;0;4;3;2;2;2
410;2;1;2;4;4;1;3
411;2;0;1;4;1;2;3
412;2;0;4;1;2;1;3
413;1;1;2;1;1;2;3
414;2;1;1;1;2;2;1
415;4;1;1;2;4;1;2
416;4;1;2;1;1;3;3
417;3;0;3;1;4;4;4
418;4;1;1;2;1;1;1
419;2;0;1;4;1;1;3
420;2;1;3;2;2;4;3
421;1;0;4;2;4;1;4
422;4;1;2;3;2;2;1
423;2;0;3;1;3;2;4
424;1;0;2;3;3;3;2
425;1;0;3;2;3;3;2
426;1;0;2;3;3;4;4
427;1;0;2;4;1;1;3
428;1;0;1;2;1;4;4
429;2;1;2;2;4;2;2
430;4;1;1;4;3;4;4
431;3;1;4;1;4;1;1
432;4;1;1;1;3;2;4
433;4;1;2;4;1;2;2
434;2;0;3;2;4;2;2
435;1;0;3;1;2;3;4
436;1;0;1;1;1;4;2
437;1;0;4;1;3;4;3
438;2;0;1;1;3;2;1
439;3;0;3;2;3;4;4
440;2;0;2;2;3;1;3
441;2;0;2;2;4;4;4
442;3;1;4;2;3;2;2
443;3;1;1;2;2;3;4
444;3;1;3;3;2;2;2
445;1;1;3;4;1;1;1
446;1;1;1;4;2;1;2
447;4;1;1;1;2;1;1
448;3;1;1;1;2;2;1
449;3;0;4;4;4;4;1
450;4;0;2;4;2;4;2
451;2;1;4;1;2;1;4
452;3;1;3;1;2;2;1
453;4;0;1;2;4;2;1
454;3;1;2;1;1;2;1
455;1;0;3;4;4;3;2
456;1;0;3;2;2;4;1
457;1;1;1;1;1;2;2
458;3;0;4;2;4;1;4
459;4;1;3;1;1;1;3
460;4;1;1;3;1;1;1
461;2;1;4;1;3;1;3
462;4;1;2;1;4;1;3
463;2;1;4;4;1;1;1
464;3;1;1;3;3;1;4
465;1;0;2;4;3;4;2
466;4;0;4;2;3;2;3
467;2;1;1;3;4;4;2
468;3;1;2;1;2;2;2
469;2;1;1;1;1;3;1
470;4;1;3;2;3;4;4
471;3;1;1;2;2;1;4
472;1;0;1;2;3;4;2
473;3;1;1;1;3;1;3
474;2;0;2;2;3;4;1
475;4;0;2;4;3;3;2
476;2;0;1;2;4;1;4
477;1;0;4;4;4;4;4
478;1;0;4;3;4;4;4
479;2;0;3;1;3;2;4
480;4;0;4;2;4;4;1
481;4;1;4;2;1;1;3
482;4;1;2;2;1;2;2
483;2;1;1;4;2;1;1
484;1;0;4;1;3;4;3
485;3;1;4;2;1;1;2
486;3;1;1;3;1;4;3
487;1;0;3;2;4;4;4
488;2;0;1;3;4;2;1
489;3;0;1;3;3;4;3
490;3;1;1;1;1;1;3
491;2;0;3;2;3;3;2
492;1;0;2;1;4;2;4
493;4;1;1;3;4;3;2
494;3;1;3;4;1;3;2
495;1;0;3;3;3;1;3
496;2;0;3;2;4;4;3
497;1;0;3;2;3;3;4
498;1;0;2;4;3;2;3
499;3;1;1;1;2;2;1
500;3;1;2;2;3;1;3
501;2;0;4;3;4;4;4
502;3;1;3;3;1;4;2
503;2;0;1;1;1;2;1
504;1;1;1;2;3;3;2
505;3;1;3;2;1;2;2
506;2;0;1;2;2;1;4
507;4;0;2;3;2;4;1
508;2;0;4;4;2;1;4
509;4;1;1;3;4;4;1
510;2;0;4;2;4;1;4
511;4;1;3;2;3;3;4
512;2;1;1;2;3;2;2
513;3;0;4;3;1;4;4
514;2;0;3;2;2;4;2
515;2;1;4;3;2;1;4
516;4;0;3;2;2;4;3
517;3;1;4;1;3;4;3
518;2;0;3;3;4;3;3
519;1;0;1;1;2;2;3
520;3;0;4;3;4;4;4
521;3;0;3;1;1;3;2
522;1;1;2;3;2;4;1
523;1;0;3;1;4;4;2
524;1;0;4;2;1;1;3
525;4;0;4;3;3;1;3
526;2;0;4;1;4;3;2
527;2;0;4;4;3;4;1
528;3;1;4;3;2;3;2
529;3;1;2;2;1;3;2
530;3;0;3;1;3;1;2
531;1;0;4;1;3;3;3
532;3;1;4;2;2;3;1
533;1;0;2;1;4;3;1
534;2;1;4;3;1;2;1
535;3;0;3;2;4;1;3
536;2;1;1;1;1;1;4
537;4;1;1;2;1;3;2
538;3;1;3;1;4;1;3
539;2;0;4;3;3;4;1
540;4;1;4;2;1;4;2
541;4;1;3;1;1;1;3
542;2;0;4;1;4;2;1
543;3;0;1;2;1;2;2
544;3;1;1;2;2;3;3
545;3;0;2;3;4;1;4
546;4;1;4;4;4;2;1
547;2;0;2;1;4;3;1
548;4;1;3;1;2;3;1
549;1;1;3;1;1;3;1
550;3;1;1;1;3;2;2
551;3;1;1;2;3;1;4
552;1;0;4;4;4;4;4
553;2;1;1;2;3;2;3
554;2;1;3;2;1;2;4
555;2;0;1;1;3;3;4
556;1;0;4;1;3;4;1
557;4;1;3;4;3;2;1
558;2;1;1;3;2;2;1
559;4;1;3;3;2;1;4
560;2;1;1;3;3;1;4
561;4;1;1;1;4;3;1
562;4;0;3;4;4;4;2
563;4;1;2;3;1;3;1
564;2;0;4;1;3;3;4
565;2;1;1;1;2;4;3
566;4;1;1;1;4;2;1
567;2;0;3;3;2;3;3
568;4;0;1;4;4;3;3
569;1;0;4;1;1;4;3
570;2;0;2;1;2;2;2
571;4;1;2;1;1;3;2
572;2;1;2;1;3;1;2
573;2;0;2;3;1;2;3
574;3;1;4;1;1;1;1
575;1;0;2;3;3;3;2
576;1;0;4;4;4;1;1
577;4;1;3;4;3;3;4
578;4;1;1;1;1;1;1
579;1;0;3;3;1;1;2
580;3;0;1;2;4;4;4
581;3;1;3;2;1;4;4
582;3;1;1;2;1;3;1
583;4;1;3;3;2;1;4
584;4;1;2;2;1;2;3
585;1;0;3;4;3;2;1
586;3;1;1;2;3;2;1
587;2;1;2;2;3;1;3
588;2;0;3;2;4;3;4
589;1;0;2;2;4;2;3
590;3;1;2;4;3;1;2
591;3;1;4;1;2;4;2
592;4;1;3;1;2;3;4
593;4;0;4;1;3;4;3
594;1;1;4;2;3;4;4
595;2;1;2;2;1;1;1
596;2;0;1;2;4;3;4
597;2;0;1;1;2;2;1
598;2;0;1;1;4;2;1
599;2;0;3;3;4;3;2
600;2;0;4;3;4;3;3
601;1;0;1;3;3;3;4
602;3;0;3;4;4;4;3
603;3;0;4;4;3;2;4
604;1;1;2;1;1;2;3
605;3;1;4;2;1;2;1
606;3;0;3;1;1;1;2
607;4;1;3;2;2;4;2
608;2;0;4;4;1;3;3
609;3;1;3;2;1;1;3
610;4;1;2;4;4;2;4
611;1;0;4;1;1;3;3
612;1;0;4;3;2;2;2
613;2;1;2;4;4;1;3
614;2;0;1;4;1;2;3
615;2;0;4;1;2;1;3
616;1;1;2;1;1;2;3
617;2;1;1;1;2;2;1
618;4;1;1;2;4;1;2
619;4;1;2;1;1;3;3
620;3;0;3;1;4;4;4
621;4;1;1;2;1;1;1
622;2;0;1;4;1;1;3
623;2;1;3;2;2;4;3
624;1;0;4;2;4;1;4
625;4;1;2;3;2;2;1
626;2;0;3;1;3;2;4
627;1;0;2;3;3;3;2
628;1;0;3;2;3;3;2
629;1;0;2;3;3;4;4
630;1;0;2;4;1;1;3
631;1;0;1;2;1;4;4
632;2;1;2;2;4;2;2
633;4;1;1;4;3;4;4
634;3;1;4;1;4;1;1
635;4;1;1;1;3;2;4
636;4;1;2;4;1;2;2
637;2;0;3;2;4;2;2
638;1;0;3;1;2;3;4
639;1;0;1;1;1;4;2
640;1;0;4;1;3;4;3
641;2;0;1;1;3;2;1
642;3;0;3;2;3;4;4
643;2;0;2;2;3;1;3
644;2;0;2;2;4;4;4
645;3;1;4;2;3;2;2
646;3;1;1;2;2;3;4
647;3;1;3;3;2;2;2
648;1;1;3;4;1;1;1
649;1;1;1;4;2;1;2
650;4;1;1;1;2;1;1
651;3;1;1;1;2;2;1
652;3;0;4;4;4;4;1
653;4;0;2;4;2;4;2
654;2;1;4;1;2;1;4
655;3;1;3;1;2;2;1
656;4;0;1;2;4;2;1
657;3;1;2;1;1;2;1
658;1;0;3;4;4;3;2
659;1;0;3;2;2;4;1
660;1;1;1;1;1;2;2
661;3;0;4;2;4;1;4
662;4;1;3;1;1;1;3
663;4;1;1;3;1;1;1
664;2;1;4;1;3;1;3
665;4;1;2;1;4;1;3
666;2;1;4;4;1;1;1
667;3;1;1;3;3;1;4
668;1;0;2;4;3;4;2
669;4;0;4;2;3;2;3
670;2;1;1;3;4;4;2
671;3;1;2;1;2;2;2
672;2;1;1;1;1;3;1
673;4;1;3;2;3;4;4
674;3;1;1;2;2;1;4
675;1;0;1;2;3;4;2
676;3;1;1;1;3;1;3
677;2;0;2;2;3;4;1
678;4;0;2;4;3;3;2
679;2;0;1;2;4;1;4
680;1;0;4;4;4;4;4
681;1;0;4;3;4;4;4
682;2;0;3;1;3;2;4
683;4;0;4;2;4;4;1
684;4;1;4;2;1;1;3
685;4;1;2;2;1;2;2
686;2;1;1;4;2;1;1
687;1;0;4;1;3;4;3
688;3;1;4;2;1;1;2
689;3;1;1;3;1;4;3
690;1;0;3;2;4;4;4
691;2;0;1;3;4;2;1
692;3;0;1;3;3;4;3
693;3;1;1;1;1;1;3
694;2;0;3;2;3;3;2
695;1;0;2;1;4;2;4
696;4;1;1;3;4;3;2
697;3;1;3;4;1;3;2
698;1;0;3;3;3;1;3
699;2;0;3;2;4;4;3
700;1;0;3;2;3;3;4
701;1;0;2;4;3;2;3
702;3;1;1;1;2;2;1
703;3;1;2;2;3;1;3
704;2;0;4;3;4;4;4
705;3;1;3;3;1;4;2
706;2;0;1;1;1;2;1
707;1;1;1;2;3;3;2
708;3;1;3;2;1;2;2
709;2;0;1;2;2;1;4
710;4;0;2;3;2;4;1
711;2;0;4;4;2;1;4
712;4;1;1;3;4;4;1
713;2;0;4;2;4;1;4
714;4;1;3;2;3;3;4
715;2;1;1;2;3;2;2
716;3;0;4;3;1;4;4
717;2;0;3;2;2;4;2
718;2;1;4;3;2;1;4
719;4;0;3;2;2;4;3
720;3;1;4;1;3;4;3
721;2;0;3;3;4;3;3
722;1;0;1;1;2;2;3
723;3;0;4;3;4;4;4
724;3;0;3;1;1;3;2
725;1;1;2;3;2;4;1
726;1;0;3;1;4;4;2
727;1;0;4;2;1;1;3
728;4;0;4;3;3;1;3
729;2;0;4;1;4;3;2
730;2;0;4;4;3;4;1
731;3;1;4;3;2;3;2
732;3;1;2;2;1;3;2
733;3;0;3;1;3;1;2
734;1;0;4;1;3;3;3
735;3;1;4;2;2;3;1
736;1;0;2;1;4;3;1
737;2;1;4;3;1;2;1
738;3;0;3;2;4;1;3
739;2;1;1;1;1;1;4
740;4;1;1;2;1;3;2
741;3;1;3;1;4;1;3
742;2;0;4;3;3;4;1
743;4;1;4;2;1;4;2
744;4;1;3;1;1;1;3
745;2;0;4;1;4;2;1
746;3;0;1;2;1;2;2
747;3;1;1;2;2;3;3
748;3;0;2;3;4;1;4
749;4;1;4;4;4;2;1
750;2;0;2;1;4;3;1
751;4;1;3;1;2;3;1
752;1;1;3;1;1;3;1
753;3;1;1;1;3;2;2
754;3;1;1;2;3;1;4
755;1;0;4;4;4;4;4
756;2;1;1;2;3;2;3
757;2;1;3;2;1;2;4
758;2;0;1;1;3;3;4
759;1;0;4;1;3;4;1
760;4;1;3;4;3;2;1
761;2;1;1;3;2;2;1
762;4;1;3;3;2;1;4
763;2;1;1;3;3;1;4
764;4;1;1;1;4;3;1
765;4;0;3;4;4;4;2
766;4;1;2;3;1;3;1
767;2;0;4;1;3;3;4
768;2;1;1;1;2;4;3
769;4;1;1;1;4;2;1
770;2;0;3;3;2;3;3
771;4;0;1;4;4;3;3
772;1;0;4;1;1;4;3
773;2;0;2;1;2;2;2
774;4;1;2;1;1;3;2
775;2;1;2;1;3;1;2
776;2;0;2;3;1;2;3
777;3;1;4;1;1;1;1
778;1;0;2;3;3;3;2
779;1;0;4;4;4;1;1
780;4;1;3;4;3;3;4
781;4;1;1;1;1;1;1
782;1;0;3;3;1;1;2
783;3;0;1;2;4;4;4
784;3;1;3;2;1;4;4
785;3;1;1;2;1;3;1
786;4;1;3;3;2;1;4
787;4;1;2;2;1;2;3
788;1;0;3;4;3;2;1
789;3;1;1;2;3;2;1
790;2;1;2;2;3;1;3
791;2;0;3;2;4;3;4
792;1;0;2;2;4;2;3
793;3;1;2;4;3;1;2
794;3;1;4;1;2;4;2
795;4;1;3;1;2;3;4
796;4;0;4;1;3;4;3
797;1;1;4;2;3;4;4
798;2;1;2;2;1;1;1
799;2;0;1;2;4;3;4
800;2;0;1;1;2;2;1
801;2;0;1;1;4;2;1
802;2;0;3;3;4;3;2
803;2;0;4;3;4;3;3
804;1;0;1;3;3;3;4
805;3;0;3;4;4;4;3
806;3;0;4;4;3;2;4
807;1;1;2;1;1;2;3
808;3;1;4;2;1;2;1
809;3;0;3;1;1;1;2
810;4;1;3;2;2;4;2
811;2;0;4;4;1;3;3
812;3;1;3;2;1;1;3
813;4;1;2;4;4;2;4
814;1;0;4;1;1;3;3
815;1;0;4;3;2;2;2
816;2;1;2;4;4;1;3
817;2;0;1;4;1;2;3
818;2;0;4;1;2;1;3
819;1;1;2;1;1;2;3
820;2;1;1;1;2;2;1
821;4;1;1;2;4;1;2
822;4;1;2;1;1;3;3
823;3;0;3;1;4;4;4
824;4;1;1;2;1;1;1
825;2;0;1;4;1;1;3
826;2;1;3;2;2;4;3
827;1;0;4;2;4;1;4
828;4;1;2;3;2;2;1
829;2;0;3;1;3;2;4
830;1;0;2;3;3;3;2
831;1;0;3;2;3;3;2
832;1;0;2;3;3;4;4
833;1;0;2;4;1;1;3
834;1;0;1;2;1;4;4
835;2;1;2;2;4;2;2
836;4;1;1;4;3;4;4
837;3;1;4;1;4;1;1
838;4;1;1;1;3;2;4
839;4;1;2;4;1;2;2
840;2;0;3;2;4;2;2
841;1;0;3;1;2;3;4
842;1;0;1;1;1;4;2
843;1;0;4;1;3;4;3
844;2;0;1;1;3;2;1
845;3;0;3;2;3;4;4
846;2;0;2;2;3;1;3
847;2;0;2;2;4;4;4
848;3;1;4;2;3;2;2
849;3;1;1;2;2;3;4
850;3;1;3;3;2;2;2
851;1;1;3;4;1;1;1
852;1;1;1;4;2;1;2
853;4;1;1;1;2;1;1
854;3;1;1;1;2;2;1
855;3;0;4;4;4;4;1
856;4;0;2;4;2;4;2
857;2;1;4;1;2;1;4
858;3;1;3;1;2;2;1
859;4;0;1;2;4;2;1
860;3;1;2;1;1;2;1
861;1;0;3;4;4;3;2
862;1;0;3;2;2;4;1
863;1;1;1;1;1;2;2
864;3;0;4;2;4;1;4
865;4;1;3;1;1;1;3
866;4;1;1;3;1;1;1
867;2;1;4;1;3;1;3
868;4;1;2;1;4;1;3
869;2;1;4;4;1;1;1
